"","X.4","X.3","X.2","X.1","X","srvy","common_name","file_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","term","estimate","std.error","conf.low","conf.high"
"14","14","14","14","14",NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2019","19.0811700933553","839.298788077109","-1625.91422680589","1664.0765669926"
"15","15","15","15","15",NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2021","19.0811700935577","756.690874864373","-1464.00569207072","1502.16803225783"
"16","16","16","16","16",NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2022","19.0757493382012","904.676331925621","-1754.05727890182","1792.20877757822"
"17","17","17","17","17",NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2023","19.0811700936219","971.219476954533","-1884.47402582109","1922.63636600834"
"18","18","18","18","18",NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2024","19.0915837590069","632.031333303462","-1219.66706661661","1257.85023413462"
"19","19","19","19",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2015","19.1966383721365","988.82605813197","-1918.86682254123","1957.26009928551"
"20","20","20","20",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2016","19.1932315803032","868.018567291","-1682.09189822211","1720.47836138272"
"21","21","21","21",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2017","19.1932315802389","960.772338387988","-1863.88594900255","1902.27241216303"
"22","22","22","22",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2018","19.1966383703132","952.91603041066","-1848.48446152545","1886.87773826608"
"23","23","23","23",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2019","19.1932315809892","690.255153440723","-1333.682009306","1372.06847246797"
"24","24","24","24",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2021","19.1932315801305","679.406851985566","-1312.41972916131","1350.80619232158"
"25","25","25","25",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2022","19.196638371257","894.041541104423","-1733.0925828761","1771.48585961861"
"26","26","26","26",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2023","19.1932315809618","NaN","NaN","NaN"
"27","27","27","27",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2024","19.1503664918691","984.226505595284","-1909.8981371046","1948.19887008834"
"28","28","28",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","factor(year)2015","19.7711681538617","1391.12336348758","-2706.78052233402","2746.32285864175"
"29","29","29",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","factor(year)2016","19.9063397854005","1384.99026178078","-2694.62469224362","2734.43737181442"
"30","30","30",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","factor(year)2017","19.8600652694612","1340.32067144983","-2607.12017850674","2646.84030904566"
"31","31","31",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","factor(year)2018","19.8007076153162","1454.16721362916","-2830.31465859681","2869.91607382744"
"32","32","32",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","factor(year)2019","20.1184359121756","1272.46601203949","-2473.86911923654","2514.10599106089"
"33","33","33",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","factor(year)2021","19.7194338409549","1278.25342698652","-2485.61124616753","2525.05011384944"
"34","34","34",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","factor(year)2022","19.7343176468037","774.53547512943","-1498.3273183555","1537.79595364911"
"35","35","35",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","factor(year)2023","19.8257148691598","1362.21586111367","-2650.06831208284","2689.71974182116"
"36","36","36",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","factor(year)2024","19.4626441881557","1249.78017214844","-2430.06148181506","2468.98677019138"
"37","37",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2015","19.0757493379419","312.905838631882","-594.208424932848","632.359923608731"
"38","38",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2016","19.0757493382831","NaN","NaN","NaN"
"39","39",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2017","19.0785830811565","NaN","NaN","NaN"
"40","40",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2018","19.0835104154677","NaN","NaN","NaN"
"41","41",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2019","19.0811700933553","839.298788077109","-1625.91422680589","1664.0765669926"
"42","42",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2021","19.0811700935577","756.690874864373","-1464.00569207072","1502.16803225783"
"43","43",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2022","19.0757493382012","904.676331925621","-1754.05727890182","1792.20877757822"
"44","44",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2023","19.0811700936219","971.219476954533","-1884.47402582109","1922.63636600834"
"45","45",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","factor(year)2024","19.0915837590069","632.031333303462","-1219.66706661661","1257.85023413462"
"46",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2015","19.1966383721365","988.82605813197","-1918.86682254123","1957.26009928551"
"47",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2016","19.1932315803032","868.018567291","-1682.09189822211","1720.47836138272"
"48",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2017","19.1932315802389","960.772338387988","-1863.88594900255","1902.27241216303"
"49",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2018","19.1966383703132","952.91603041066","-1848.48446152545","1886.87773826608"
"50",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2019","19.1932315809892","690.255153440723","-1333.682009306","1372.06847246797"
"51",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2021","19.1932315801305","679.406851985566","-1312.41972916131","1350.80619232158"
"52",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2022","19.196638371257","894.041541104423","-1733.0925828761","1771.48585961861"
"53",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2023","19.1932315809618","NaN","NaN","NaN"
"54",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","factor(year)2024","19.1503664918691","984.226505595284","-1909.8981371046","1948.19887008834"
