"","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"12",12,12,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2015",23.37564558594,6478.05349295877,-12673.3758905372,12720.127181709
"13",13,13,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2017",22.118557253259,4045.19170111746,-7906.31148749727,7950.54860200379
"14",14,14,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2019",22.1629140374923,4049.38545006024,-7914.4867276011,7958.81255567608
"15",15,15,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2021",23.0352333353837,6356.57806746484,-12435.6288438129,12481.6993104837
"16",16,16,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2023",22.7151351474999,5386.09744260027,-10533.8418695723,10579.2721398673
"17",17,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)1990",23.5165829217691,6493.62810229781,-12703.7606265791,12750.7937924226
"18",18,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)1993",23.9357440831724,7104.61802995725,-13900.8597185469,13948.7312067133
"19",19,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)1996",23.5431028318838,6154.04467067418,-12038.1628109402,12085.2490166039
"20",20,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)1999",23.5018256825268,6259.75722977819,-12245.3968966469,12292.400548012
"21",21,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2001",22.7971091230094,5510.67610875154,-10777.9295944953,10823.5238127414
"22",22,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2003",23.853885058347,7084.24943444929,-13861.0198639605,13908.7276340772
"23",23,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2005",23.810549112366,5840.90555097251,-11424.1539678938,11471.7750661186
"24",24,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2007",23.6745604338503,6184.89593258601,-12098.498715563,12145.8478364307
"25",25,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2009",23.9287552127998,7095.08961922289,-13882.1913655481,13930.0488759737
"26",26,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2011",23.3232380706797,5683.85813806736,-11116.8340057762,11163.4804819176
"27",27,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2013",23.0075785762724,5594.14162473646,-10941.3085303236,10987.3236874761
"28",28,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2015",23.7548393350977,6893.03775357907,-13486.3509017548,13533.860580425
"29",29,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2017",23.0701235214672,5472.36151798884,-10702.5613621196,10748.7016091625
"30",30,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2019",23.2564517103255,5931.33873499591,-11601.953848989,11648.4667524097
"31",31,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2021",23.0176498440039,5287.02396403789,-10339.3589050705,10385.3942047585
"32",32,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2023",23.1310433024133,5983.2528692268,-11703.8290907781,11750.0911773829
"33",1,1,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)1990",20.5340254568113,3528.41474554825,-6895.03179833782,6936.09984925145
"34",2,2,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)1993",20.3161680767593,2209.13803385309,-4309.51481515292,4350.14715130644
"35",3,3,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)1996",20.6431020749202,3301.36772407451,-6449.91873683409,6491.20494098393
"36",4,4,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)1999",20.594756891863,3242.17466848929,-6333.95082493524,6375.14033871897
"37",5,5,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2001",20.539016310377,4012.17341190973,-7843.17637076188,7884.25440338264
"38",6,6,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2003",20.3662493864911,2608.61746794084,-5092.43003721963,5133.16253599261
"39",7,7,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2005",20.3652641958967,2347.85485698574,-4581.3456964236,4622.0762248154
"40",8,8,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2007",20.4712777602061,2604.35577829323,-5083.9722506233,5124.91480614371
"41",9,9,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2009",20.6042904148283,2166.66961681469,-4225.99012493917,4267.19870576882
"42",10,10,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2011",20.5991228361918,3138.90775993671,-6131.54703743305,6172.74528310543
"43",11,11,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2013",20.4618521540253,2897.75891234207,-5659.04125191638,5699.96495622443
"44",12,12,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2015",20.5991328775672,3834.37233261139,-7494.63254235759,7535.83080811272
"45",13,13,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2017",20.7289009368821,4492.19804334756,-8783.81747544563,8825.27527731939
"46",14,14,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2019",20.3355109729149,3339.6264902263,-6525.21213168654,6565.88315363237
"47",15,15,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2021",20.3731845687426,4505.14894854919,-8809.55649957617,8850.30286871365
"48",16,16,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2023",20.2630776386349,3840.15293842007,-7506.29837679037,7546.82453206764
"49",17,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)1990",20.8028210902889,2730.15082083551,-5330.19446010977,5371.80010229035
"50",18,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)1993",21.4207139555385,3476.9960328845,-6793.36628488672,6836.2077127978
"51",19,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)1996",21.3497125779954,3547.64855166273,-6931.91367848664,6974.61310364262
"52",20,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)1999",20.6945851556921,2702.86794357756,-5276.82923922416,5318.21840953555
"53",21,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2001",21.1013146906698,3476.83597009005,-6793.3719668392,6835.57459622054
"54",22,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2003",21.2528147258652,3494.2558642045,-6827.36283188283,6869.86846133456
"55",23,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2005",21.4514142373585,3580.53726589094,-6996.2726722124,7039.17550068712
"56",24,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2007",20.8578614344095,2734.66013787092,-5338.97751874994,5380.69324161876
"57",25,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2009",21.5570305139745,3920.42283485939,-7662.33052997884,7705.44459100679
"58",26,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2011",20.6939286862483,3127.18916731324,-6108.4842120915,6149.87206946399
"59",27,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2013",20.9082029567343,3515.40591406013,-6869.16077964023,6910.9771855537
"60",28,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2015",21.2311825403346,3920.81142051276,-7663.41799183799,7705.88035691866
"61",29,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2017",21.1583110572578,3907.20576047067,-7636.82425965269,7679.1408817672
"62",30,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2019",20.7940083351993,3619.46873690886,-7073.23435917484,7114.82237584524
"63",31,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2021",20.9505997804955,4008.59068034502,-7835.74276245866,7877.64396201965
"64",32,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2023",20.4220957929667,3601.68780952075,-7038.75629442467,7079.6004860106
"65",1,1,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)1990",24.1731020057235,7874.04550002143,-15408.672490666,15457.0186946774
"66",2,2,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)1993",23.9825658527166,6931.25855822309,-13561.0345757996,13608.999707505
"67",3,3,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)1996",23.8854766881458,5932.4665997136,-11603.5353982373,11651.3063516136
"68",4,4,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)1999",23.9670253006563,7087.50411405517,-13867.2857785269,13915.2198291282
"69",5,5,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2001",23.2264296021004,6765.40386319262,-13236.7214831236,13283.1743423278
"70",6,6,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2003",23.7093976939851,6253.94963520334,-12233.806648432,12281.2254438199
"71",7,7,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2005",23.9971305205198,6531.99423518033,-12778.4763176562,12826.4705786972
"72",8,8,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2007",23.6465345348409,6201.50951951806,-12131.0887735029,12178.3818425725
"73",9,9,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2009",23.7966071515109,5840.38515137578,-11423.1479453875,11470.7411596905
"74",10,10,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2011",23.9425666417156,7030.31996699566,-13755.2313684626,13803.116501746
"75",11,11,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2013",23.4945152673472,6537.97435645489,-12790.6997552307,12837.6887857654
"76",12,12,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2015",23.9467775501173,5202.48439065621,-10172.7352582679,10220.6288133681
"77",13,13,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2017",23.3394725180884,7500.71669512294,-14677.7951081612,14724.4740531974
"78",14,14,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2019",23.329387353419,4569.00074699239,-8931.74752208826,8978.4062967951
"79",15,15,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2021",23.2716802919667,6368.88260803751,-12459.5088532251,12506.052213809
"80",16,16,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3","factor(year)2023",23.388055517791,6814.72041859586,-13333.2185296398,13379.9946406754
"81",17,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)1990",26.9660629627401,28329.3695929941,-55497.5780440298,55551.5101699553
"82",18,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)1993",25.9536412062212,15949.8112464177,-31235.1019619844,31287.0092443968
"83",19,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)1996",26.4883271975542,23763.1192714041,-46548.3696050841,46601.3462594792
"84",20,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)1999",26.8105265874769,28380.2206844501,-55597.3998882334,55651.0209414083
"85",21,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2001",25.3292152223414,18244.9185996545,-35734.0541409654,35784.7125714101
"86",22,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2003",26.5764749579866,25360.2147143752,-49678.5310054201,49731.6839553361
"87",23,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2005",26.2282222845431,22103.4011066932,-43295.641882677,43348.0983272461
"88",24,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2007",25.8619305626071,17244.4600387133,-33772.6586781557,33824.3825392809
"89",25,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2009",27.083505632438,31249.6484737684,-61221.1020324907,61275.2690437556
"90",26,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2011",26.6377156208467,26131.9556130223,-51191.0541315022,51244.3295627439
"91",27,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2013",26.3632952891159,25265.4988821305,-49493.1045651237,49545.8311557019
"92",28,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2015",26.2417686633699,19226.466755839,-37656.9406227377,37709.4241600645
"93",29,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2017",25.6254905034253,18530.0543381373,-36292.6136438159,36343.8646248228
"94",30,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2019",26.7995920748944,34127.6435423049,-66862.1526280636,66915.7518122134
"95",31,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2021",26.2832062823867,27403.483641814,-53683.5577826055,53736.1241951703
"96",32,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1","factor(year)2023",25.9064211215837,20689.2265713391,-40524.2325266921,40576.0453689353
"97",1,1,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)1990",22.0197424524506,3673.12800800081,-7177.17886383448,7221.21834873938
"98",2,2,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)1993",22.1572532861583,3845.57112106927,-7515.02364399693,7559.33815056925
"99",3,3,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)1996",22.0489728719761,3520.71250011216,-6878.42072726783,6922.51867301178
"100",4,4,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)1999",21.9342820390238,3155.797858101,-6163.31586232757,6207.18442640562
"101",5,5,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2001",21.1925841041617,3108.40943325709,-6071.1779542843,6113.56312249262
"102",6,6,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2003",22.0570885981463,3516.72929342569,-6870.60566989319,6914.71984708948
"103",7,7,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2005",22.4038587535064,3202.49821371361,-6254.37730067903,6299.18501818604
"104",8,8,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2007",22.1377084405994,3769.41421602445,-7365.7783977806,7410.0538146618
"105",9,9,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2009",22.9841909696216,4928.53186180136,-9636.76075481918,9682.72913675842
"106",10,10,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2011",21.8601013536817,3249.62941787046,-6347.29652077428,6391.01672348164
"107",11,11,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2013",21.3538510495812,2719.08484190175,-5307.95450998664,5350.6622120858
"108",12,12,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2015",22.6267231087972,3895.74176323641,-7612.88682590313,7658.14027212072
