"","X.3","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"92",36,36,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2010,13369634.8719766,7560846.08666081,23641155.3100291,16.4084966392046,0.290823191437273,"index"
"93",37,37,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2012,9885663.19162042,5445933.18253672,17944828.4550267,16.1065961030415,0.304197640718743,"index"
"94",38,38,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2014,24608199.2766249,13574500.3696729,44610369.0851848,17.018590249297,0.303519164669912,"index"
"95",39,39,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2016,9581367.34699027,5202772.33442727,17644938.955046,16.0753308690931,0.311550972972614,"index"
"96",40,40,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2018,9949352.08854457,5757951.46372546,17191809.9007001,16.1130179902854,0.279048836531774,"index"
"97",41,41,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2022,9138927.23905876,4957406.56212601,16847516.9494657,16.0280535666359,0.312077303482652,"index"
"98",42,42,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2024,16702608.2067869,9310350.52481006,29964190.9470553,16.6310754452393,0.298188207002379,"index"
"99",43,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",1991,4776554.15744444,2897032.57976015,7875461.87032825,15.3792299569393,0.255123276836406,"index"
"100",44,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",1994,11072283.9872546,5372373.485488,22819610.9271953,16.2199556056485,0.36897374271556,"index"
"101",45,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",1997,3118847.27108236,1654639.24844409,5878748.68161422,14.9529740271202,0.323414341211469,"index"
"102",46,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2000,8831723.48365297,4582074.58854802,17022712.7874896,15.9938607385457,0.334801212296756,"index"
