"","X.3","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"36",36,36,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2010",19.9062035542976,2005.76133074192,-3911.31376628299,3951.12617339159
"37",37,37,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2012",18.6118541521514,1021.59711528599,-1983.6816985184,2020.9054068227
"38",38,38,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2014",20.2410402464857,2215.9103297605,-4322.86339905436,4363.34547954733
"39",39,39,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2016",20.1044927340875,1988.43395353536,-3877.15444183181,3917.36342729998
"40",40,40,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2018",19.1143813501509,1234.72986827931,-2400.91169111318,2439.14045381348
"41",41,41,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2022",21.0494340809081,3185.47803617759,-6222.37279037055,6264.47165853236
"42",42,42,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2024",19.4126324772272,1627.57693000165,-3170.57953239428,3209.40479734873
"43",43,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)1991",19.1299161850929,1288.90059039674,-2507.06882064494,2545.32865301512
"44",44,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)1994",19.3282247162634,1018.34989178594,-1976.60088684444,2015.25733627696
"45",45,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)1997",19.2376740645336,1213.42895946932,-2359.03938429324,2397.51473242231
"46",46,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2000",19.3414815464552,1156.76113078454,-2247.86867350707,2286.55163659998
"47",47,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2002",19.2432372549326,1329.88898490288,-2587.29127659124,2625.77775110111
"48",48,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2004",19.4048573973322,1155.19584704793,-2244.73739790686,2283.54711270152
"49",49,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2006",19.2545618231523,884.499596103041,-1714.33279087903,1752.84191452534
"50",50,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2010",19.3688826524563,1360.79227609472,-2647.73496893349,2686.4727342384
"51",51,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2012",19.4350829763133,1262.42393835324,-2454.87036941726,2493.74053536988
"52",52,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2014",19.4666497104087,1216.59307802743,-2365.01196706407,2403.94526648489
"53",53,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2016",19.5166130040551,567.372850129434,-1092.51373905548,1131.54696506359
"54",54,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2018",19.5166126409797,1251.74100629425,-2433.85067766767,2472.88390294963
"55",55,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2022",19.5252532441928,1302.42737047953,-2533.1854853749,2572.23599186328
"56",56,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2024",19.2661578693961,1330.1132358661,-2587.7078797882,2626.24019552699
"57",1,1,1,1,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)1991",18.0922991786734,861.525388769074,-1670.46643457558,1706.65103293293
"58",2,2,2,2,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)1994",17.830416767919,789.02836120425,-1528.63675397307,1564.29758750891
"59",3,3,3,3,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)1997",18.2712565910484,918.785070810218,-1782.51439173006,1819.05690491216
"60",4,4,4,4,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2000",18.5833384395242,1034.15363244491,-2008.32053563376,2045.48721251281
"61",5,5,5,5,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2002",19.3530595675316,1414.2384225699,-2752.5033142222,2791.20943335726
"62",6,6,6,6,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2004",21.4602673790068,3569.2515115087,-6974.1441469432,7017.06468170121
"63",7,7,7,7,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2006",19.5034844792832,1507.01492875019,-2934.19150003529,2973.19846899386
"64",8,8,8,8,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2010",21.2724847601287,3279.51709962139,-6406.46291718104,6449.0078867013
"65",9,9,9,9,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2012",20.3723109265487,2195.7153779545,-4283.15075016503,4323.89537201812
"66",10,10,10,10,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2014",21.0257266322013,2935.55360446772,-5732.55361281127,5774.60506607567
"67",11,11,11,11,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2016",23.6150694279885,9564.78048797762,-18723.0102070396,18770.2403458956
"68",12,12,12,12,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2018",22.952885851605,7050.12228510851,-13795.0328795643,13840.9386512675
"69",13,13,13,13,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2022",21.2103915582102,3189.17988375728,-6229.4673208257,6271.88810394212
"70",14,14,14,14,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2024",21.0257266330281,2935.55417995042,-5732.55474073581,5774.60619400187
"71",15,15,15,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)1991",20.5697893306678,2592.98158718207,-5061.5807341217,5102.72031278304
"72",16,16,16,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)1994",20.6033720894865,2825.72805184413,-5517.72183962954,5558.92858380851
"73",17,17,17,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)1997",20.5301721804774,2323.50326239093,-4533.45254006706,4574.51288442801
"74",18,18,18,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2000",20.5230695465009,2397.53930901248,-4678.567627637,4719.61376673001
"75",19,19,19,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2002",20.4418056850569,2086.53852081389,-4069.09854746565,4109.98215883576
"76",20,20,20,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2004",20.0717855023142,1583.63941522634,-3083.80443283939,3123.94800384402
"77",21,21,21,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2006",20.3983482949427,1857.13032198445,-3619.51019739185,3660.30689398174
"78",22,22,22,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2010",20.1001919215269,1664.93300188392,-3243.10852844311,3283.30891228616
"79",23,23,23,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2012",20.2065818097988,1735.33349855643,-3380.98457652669,3421.39774014629
"80",24,24,24,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2014",20.0129815756445,1494.41700163377,-2908.99051951088,2949.01648266217
"81",25,25,25,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2016",19.6515183795459,1130.11528489966,-2195.33373840201,2234.6367751611
"82",26,26,26,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2018",19.7666717259429,1240.24616316356,-2411.07114003863,2450.60448349052
"83",27,27,27,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2022",20.071785501474,1529.13900573226,-2976.98559308915,3017.1291640921
"84",28,28,28,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2024",20.1369754781308,1714.2532535683,-3339.73766189635,3380.01161285262
"85",29,29,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)1991",18.0922991786734,861.525388769074,-1670.46643457558,1706.65103293293
"86",30,30,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)1994",17.830416767919,789.02836120425,-1528.63675397307,1564.29758750891
"87",31,31,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)1997",18.2712565910484,918.785070810218,-1782.51439173006,1819.05690491216
"88",32,32,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2000",18.5833384395242,1034.15363244491,-2008.32053563376,2045.48721251281
"89",33,33,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2002",19.3530595675316,1414.2384225699,-2752.5033142222,2791.20943335726
"90",34,34,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2004",21.4602673790068,3569.2515115087,-6974.1441469432,7017.06468170121
"91",35,35,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2006",19.5034844792832,1507.01492875019,-2934.19150003529,2973.19846899386
"92",36,36,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2010",21.2724847601287,3279.51709962139,-6406.46291718104,6449.0078867013
"93",37,37,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2012",20.3723109265487,2195.7153779545,-4283.15075016503,4323.89537201812
"94",38,38,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2014",21.0257266322013,2935.55360446772,-5732.55361281127,5774.60506607567
"95",39,39,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2016",23.6150694279885,9564.78048797762,-18723.0102070396,18770.2403458956
"96",40,40,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2018",22.952885851605,7050.12228510851,-13795.0328795643,13840.9386512675
"97",41,41,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2022",21.2103915582102,3189.17988375728,-6229.4673208257,6271.88810394212
"98",42,42,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3","factor(year)2024",21.0257266330281,2935.55417995042,-5732.55474073581,5774.60619400187
"99",43,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)1991",20.5697893306678,2592.98158718207,-5061.5807341217,5102.72031278304
"100",44,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)1994",20.6033720894865,2825.72805184413,-5517.72183962954,5558.92858380851
"101",45,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)1997",20.5301721804774,2323.50326239093,-4533.45254006706,4574.51288442801
"102",46,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2000",20.5230695465009,2397.53930901248,-4678.567627637,4719.61376673001
"103",47,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2002",20.4418056850569,2086.53852081389,-4069.09854746565,4109.98215883576
"104",48,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2004",20.0717855023142,1583.63941522634,-3083.80443283939,3123.94800384402
"105",49,NA,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1","factor(year)2006",20.3983482949427,1857.13032198445,-3619.51019739185,3660.30689398174
