"","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"11","11","11","11","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2016","23.6150694279885","9564.78048797762","-18723.0102070396","18770.2403458956"
"12","12","12","12","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2018","22.952885851605","7050.12228510851","-13795.0328795643","13840.9386512675"
"13","13","13","13","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2022","21.2103915582102","3189.17988375728","-6229.4673208257","6271.88810394212"
"14","14","14","14","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2024","21.0257266330281","2935.55417995042","-5732.55474073581","5774.60619400187"
"15","15","15",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)1991","20.5697893306678","2592.98158718207","-5061.5807341217","5102.72031278304"
"16","16","16",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)1994","20.6033720894865","2825.72805184413","-5517.72183962954","5558.92858380851"
"17","17","17",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)1997","20.5301721804774","2323.50326239093","-4533.45254006706","4574.51288442801"
"18","18","18",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2000","20.5230695465009","2397.53930901248","-4678.567627637","4719.61376673001"
"19","19","19",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2002","20.4418056850569","2086.53852081389","-4069.09854746565","4109.98215883576"
"20","20","20",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2004","20.0717855023142","1583.63941522634","-3083.80443283939","3123.94800384402"
"21","21","21",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2006","20.3983482949427","1857.13032198445","-3619.51019739185","3660.30689398174"
"22","22","22",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2010","20.1001919215269","1664.93300188392","-3243.10852844311","3283.30891228616"
"23","23","23",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2012","20.2065818097988","1735.33349855643","-3380.98457652669","3421.39774014629"
"24","24","24",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2014","20.0129815756445","1494.41700163377","-2908.99051951088","2949.01648266217"
"25","25","25",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2016","19.6515183795459","1130.11528489966","-2195.33373840201","2234.6367751611"
"26","26","26",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2018","19.7666717259429","1240.24616316356","-2411.07114003863","2450.60448349052"
"27","27","27",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2022","20.071785501474","1529.13900573226","-2976.98559308915","3017.1291640921"
"28","28","28",NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2024","20.1369754781308","1714.2532535683","-3339.73766189635","3380.01161285262"
"29","29",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)1991","18.0922991786734","861.525388769074","-1670.46643457558","1706.65103293293"
"30","30",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)1994","17.830416767919","789.02836120425","-1528.63675397307","1564.29758750891"
"31","31",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)1997","18.2712565910484","918.785070810218","-1782.51439173006","1819.05690491216"
"32","32",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2000","18.5833384395242","1034.15363244491","-2008.32053563376","2045.48721251281"
"33","33",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2002","19.3530595675316","1414.2384225699","-2752.5033142222","2791.20943335726"
"34","34",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2004","21.4602673790068","3569.2515115087","-6974.1441469432","7017.06468170121"
"35","35",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2006","19.5034844792832","1507.01492875019","-2934.19150003529","2973.19846899386"
"36","36",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2010","21.2724847601287","3279.51709962139","-6406.46291718104","6449.0078867013"
"37","37",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2012","20.3723109265487","2195.7153779545","-4283.15075016503","4323.89537201812"
"38","38",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2014","21.0257266322013","2935.55360446772","-5732.55361281127","5774.60506607567"
"39","39",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2016","23.6150694279885","9564.78048797762","-18723.0102070396","18770.2403458956"
"40","40",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2018","22.952885851605","7050.12228510851","-13795.0328795643","13840.9386512675"
"41","41",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2022","21.2103915582102","3189.17988375728","-6229.4673208257","6271.88810394212"
"42","42",NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2024","21.0257266330281","2935.55417995042","-5732.55474073581","5774.60619400187"
"43",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)1991","20.5697893306678","2592.98158718207","-5061.5807341217","5102.72031278304"
"44",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)1994","20.6033720894865","2825.72805184413","-5517.72183962954","5558.92858380851"
"45",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)1997","20.5301721804774","2323.50326239093","-4533.45254006706","4574.51288442801"
"46",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2000","20.5230695465009","2397.53930901248","-4678.567627637","4719.61376673001"
"47",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2002","20.4418056850569","2086.53852081389","-4069.09854746565","4109.98215883576"
"48",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2004","20.0717855023142","1583.63941522634","-3083.80443283939","3123.94800384402"
"49",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2006","20.3983482949427","1857.13032198445","-3619.51019739185","3660.30689398174"
"50",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2010","20.1001919215269","1664.93300188392","-3243.10852844311","3283.30891228616"
"51",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2012","20.2065818097988","1735.33349855643","-3380.98457652669","3421.39774014629"
"52",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2014","20.0129815756445","1494.41700163377","-2908.99051951088","2949.01648266217"
"53",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2016","19.6515183795459","1130.11528489966","-2195.33373840201","2234.6367751611"
"54",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2018","19.7666717259429","1240.24616316356","-2411.07114003863","2450.60448349052"
"55",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2022","20.071785501474","1529.13900573226","-2976.98559308915","3017.1291640921"
"56",NA,NA,NA,"AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","factor(year)2024","20.1369754781308","1714.2532535683","-3339.73766189635","3380.01161285262"
