"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"19",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)1996","24.0610164990122","5579.94447048241","-10912.4291813799","10960.551214378"
"20",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)1999","23.9592341629004","5647.48258156957","-11044.9032290307","11092.8216973565"
"21",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2001","24.7953781484538","8838.81431885142","-17298.9623528372","17348.5531091342"
"22",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2003","23.7156809248913","4777.94370596887","-9340.88190293392","9388.3132647837"
"23",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2005","23.5328464613593","4876.13089038815","-9533.50808260264","9580.57377552536"
"24",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2007","23.5763789703542","4575.8288791274","-8944.88342353764","8992.03618147835"
"25",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2009","24.1547924615877","6193.46315113764","-12114.8099233441","12163.1195082673"
"26",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2011","23.3752849869555","4649.34737631841","-9089.17812421293","9135.92869418684"
"27",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2013","23.6543623511442","5298.78370569848","-10361.7708626856","10409.0795873879"
"28",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2015","22.9961438309182","3304.44840825984","-6453.60372512908","6499.59601279092"
"29",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2017","24.7114105141958","8626.47665712164","-16882.8721509197","16932.2949719481"
"30",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2019","23.0809630099753","3945.14279447923","-7709.25682803701","7755.41875405696"
"31",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2021","23.9391948298857","6222.81229624287","-12172.5487883591","12220.4271780189"
"32",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2023","24.5390127803578","8626.70770955575","-16883.4974031029","16932.5754286637"
